sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 22, 2025 12:01:11

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     86(81)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     78(73)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     52(47)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     45(39)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=128)	      61(0)	      22(2)	      37(0)	     100(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_5ee7df9aa375494db25875c4929bcb33(WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     51(51)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_5ee7df9aa375494db25875c4929bcb33(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_DUAL",PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7)	     61(61)	      20(0)	     37(37)	     49(13)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_5ee7df9aa375494db25875c4929bcb33(STAGE=2,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_5ee7df9aa375494db25875c4929bcb33(STAGE=2,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_5ee7df9aa375494db25875c4929bcb33(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     49(43)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     45(40)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_5ee7df9aa375494db25875c4929bcb33	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_5ee7df9aa375494db25875c4929bcb33	 1166(1166)	   146(146)	   103(103)	   853(834)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     19(19)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	      10(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_5ee7df9aa375494db25875c4929bcb33 	     11(11)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=10000)	    111(89)	       0(0)	     47(42)	   165(158)	     0(0)	     0(0)	     0(0)	
  +u_afifo_w24d16_r24d16:afifo_w24d16_r24d16                	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_97de8c1d535c46caaff94d8f5a5d7caa(FAMILY="TITANIUM",MODE="FWFT",DEPTH=16,DATA_WIDTH=24,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_97de8c1d535c46caaff94d8f5a5d7caa(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_97de8c1d535c46caaff94d8f5a5d7caa(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,HANDSHAKE_FLAG=0)	     20(10)	       0(0)	       5(5)	       7(3)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=5,ACTIVE_LOW=0)	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +mipi_rx_0:csi_rx                                          	     798(0)	       0(0)	     158(0)	    1670(0)	     0(0)	     8(0)	     0(0)	
  +u_efx_csi2_rx:efx_csi2_rx_395e1dacd0ee459c8121d2c050c73db8(tINIT_NS=1000,NUM_DATA_LANE=1,CLOCK_FREQ_MHZ=96,DPHY_CLOCK_MODE="Discontinuous",ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	     798(0)	       0(0)	     158(0)	    1670(0)	     0(0)	     8(0)	     0(0)	
   +dphy_rx_inst:efx_dphy_rx_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,ENABLE_USER_DESKEWCAL=1'b0,DPHY_CLOCK_MODE="Discontinuous")	     132(0)	       0(0)	      21(0)	     241(0)	     0(0)	     0(0)	     0(0)	
    +rx_clane_fsm_inst0:dphy_rx_clane_fsm_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96)	     18(18)	       0(0)	       9(9)	     34(34)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96)	     33(33)	       0(0)	     12(12)	   104(104)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dword_align_inst:dphy_rx_dword_align_395e1dacd0ee459c8121d2c050c73db8	     81(81)	       0(0)	       0(0)	   103(103)	     0(0)	     0(0)	     0(0)	
   +csi2_rx_top_inst:efx_csi2_rx_top_395e1dacd0ee459c8121d2c050c73db8(HS_DATA_WIDTH=8,tINIT_NS=1000,CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,PACK_TYPE=15,ENABLE_VCX=1'b0)	    666(27)	       0(0)	    137(17)	   1429(10)	     0(0)	     8(0)	     0(0)	
    +syncreg_1:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +syncreg_2:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +depacketizer_inst:efx_csi2_depacketizer_395e1dacd0ee459c8121d2c050c73db8(ENABLE_VCX=1'b0)	   167(142)	       0(0)	     17(17)	   243(178)	     0(0)	     0(0)	     0(0)	
     +genblk4.ecc_check_inst:efx_csi2_ecc_check_395e1dacd0ee459c8121d2c050c73db8	     25(25)	       0(0)	       0(0)	     65(65)	     0(0)	     0(0)	     0(0)	
    +genblk2.lane_aligner_inst:efx_csi2_lane_aligner_395e1dacd0ee459c8121d2c050c73db8(NUM_DATA_LANE=1)	      18(1)	       0(0)	       5(0)	      77(1)	     0(0)	     1(0)	     0(0)	
     +genblk1[0].u1_inst:efx_fifo_top_395e1dacd0ee459c8121d2c050c73db8(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      17(0)	       0(0)	       5(0)	      76(0)	     0(0)	     1(0)	     0(0)	
      +genblk2.efx_resetsync_a_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_395e1dacd0ee459c8121d2c050c73db8(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     63(63)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_395e1dacd0ee459c8121d2c050c73db8(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     15(15)	       0(0)	       5(5)	     13(13)	     0(0)	     0(0)	     0(0)	
    +genblk3.byte2pixel_inst:efx_csi2_byte2pixel_395e1dacd0ee459c8121d2c050c73db8(PIXEL_FIFO_DEPTH=1024,ENABLE_VCX=1'b0,PACK_TYPE=15)	    450(42)	       0(0)	     98(65)	  1099(203)	     0(0)	     7(0)	     0(0)	
     +syncreg_0:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_1:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_2:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_3:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_4:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_5:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_6:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_7:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_8:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_9:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_10:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_11:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_12:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_13:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_14:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_15:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_16:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_17:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_18:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_20:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_23:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=16)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_24:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
